start_lon,start_lat,start_district,end_lon,end_lat,end_district,velocity,line
20.982478,52.217644,Ochota,20.982478,52.217644,Ochota,0.0,191
20.920326,52.197315,Włochy,20.920523,52.197273,Włochy,4.652448453887638,414
21.0489132,52.20489,Mokotów,21.0493124,52.2034727,Mokotów,41.12414928375429,187
20.971659,52.219654,Ochota,20.970354,52.219757,Ochota,20.167616163612863,184
20.983479,52.219109,Ochota,20.983479,52.219109,Ochota,0.0,517
20.949623,52.210423,Ochota,20.949015,52.210022,Ochota,18.25910571984307,191
20.875296,52.198689,Ursus,20.876831,52.198265,Ursus,34.42498762797075,517
20.920311,52.197113,Włochy,20.920307,52.197113,Włochy,0.08178789828503973,182
20.9146077,52.2391672,Bemowo,20.9150562,52.2392002,Bemowo,9.227683431100278,719
20.870398,52.183582,Ursus,20.870388,52.183582,Ursus,0.24543838287611727,191
20.906904,52.228485,Bemowo,20.906607,52.228474,Bemowo,6.6322352042819785,177
20.9209446,52.1965767,Włochy,20.9209429,52.1965644,Włochy,0.4941348537511697,105
21.047701,52.157917,Ursynów,21.045464,52.15707,Ursynów,35.86512626594664,401
20.945823,52.192669,Włochy,20.946993,52.192441,Włochy,15.063138090435126,401
20.928612,52.196377,Włochy,20.928616,52.196365,Włochy,0.4085718582377802,717
20.897051,52.219742,Bemowo,20.897575,52.221237,Bemowo,40.80613899839195,105
20.883463,52.196171,Ursus,20.882795,52.19733,Ursus,41.00422994793938,517
21.036306,52.22522,Śródmieście,21.0364,52.225231,Śródmieście,1.955535470427119,171
20.9200445,52.1966124,Włochy,20.9200439,52.1966086,Włochy,0.12735451020239866,177
20.943439,52.17511,Włochy,20.943525,52.175179,Włochy,3.16046575534223,733
20.8963314,52.2397654,Bemowo,20.8963287,52.2397602,Bemowo,0.21842549965175873,105
20.988444,52.22433,Ochota,20.988444,52.22433,Ochota,0.0,517
20.914989,52.233746,Bemowo,20.914808,52.234707,Bemowo,24.202547012785804,743
20.9927365,52.1097661,Ursynów,20.9927421,52.1097656,Ursynów,0.13912082727545294,L39
21.0859366,52.1606776,Wilanów,21.0862915,52.1601996,Wilanów,14.017129545781803,L28
20.892185,52.204821,Ursus,20.892185,52.204821,Ursus,0.0,177
20.934654,52.272289,Bielany,20.935028,52.272823,Bielany,19.38037475007115,112
21.066853,52.18412,Mokotów,21.065596,52.185268,Mokotów,50.31801989603655,189
20.9198112,52.1968341,Włochy,20.9198147,52.1968335,Włochy,0.07431105541186257,713
20.966244,52.237003,Wola,20.966322,52.237003,Wola,1.7382897899834593,171
21.068883,52.181351,Mokotów,21.068883,52.181351,Mokotów,0.0,189
21.013339,52.246706,Śródmieście,21.009746,52.246343,Śródmieście,89.25196185426424,190
20.926373,52.196125,Włochy,20.927543,52.195819,Włochy,24.00948509096382,517
20.9824689,52.2301582,Wola,20.982467,52.2301565,Wola,0.06872392634621288,105
20.9237419,52.1967916,Włochy,20.9241679,52.1968555,Włochy,8.967496762612921,105
20.982288,52.238426,Wola,20.981037,52.238377,Wola,18.075966290125965,190
20.925798,52.234103,Wola,20.925798,52.234103,Wola,0.0,190
20.914936,52.228951,Bemowo,20.915358,52.228409,Bemowo,17.169503659500453,189
